Dependency,Version
acl,2.2.53-4
acme-sh,3.0.4+github1
adduser,3.118
apt-transport-https,1.8.2.3
apt-utils,1.8.2.3
apt,1.8.2.3
aptitude-common,0.8.11-7
aptitude,0.8.11-7
azcopy,10.16.0+github1
base-files,10.3+deb10u13
base-passwd,3.5.46
bash,5.0-4
bind9-host,1:9.11.5.P4+dfsg-5.1+deb10u8
binutils-common:amd64,2.31.1-16
binutils-x86-64-linux-gnu,2.31.1-16
binutils,2.31.1-16
blktrace,1.2.0-5
bonnie++,1.98
bridge-utils,1.6-2
bsdmainutils,11.1.2+b1
bsdutils,1:2.33.1-0.1
bzip2,1.0.6-9.2~deb10u2
ca-certificates,20220324+github1
chrony,3.4-4+deb10u2
cloud-init,20.2-2~deb10u2
collectd-wireguard,1:1.0.0+github1
collectd,5.12.0+github2
console-setup-linux,1.193~deb10u1
console-setup,1.193~deb10u1
consul-cli,0.6.0+github1
consul-replicate,0.4.0+github4
consul-template,0.27.0+github1
consul,1.11.1+github1
containerd.io,1.4.9-1
coreutils,8.30-3
cpio,2.12+dfsg-9
cron,3.0pl1-134+deb10u1
curl,7.64.0-4+deb10u6
dash,0.5.10.2-5
dbus,1.12.24-0+deb10u1
debconf-i18n,1.5.71+deb10u1
debconf-utils,1.5.71+deb10u1
debconf,1.5.71+deb10u1
debian-archive-keyring,2019.1+deb10u1
debianutils,4.8.6.1
dh-python,3.20190308
dialog,1.3-20190211-1
diffutils,1:3.7-3
dirmngr,2.2.12-1+deb10u2
distro-info-data,0.41+deb10u7
dmeventd,2:1.02.155-3
dmidecode,3.2-1
dmsetup,2:1.02.155-3
dnsmasq-base,2.80-1+deb10u1
dnsmasq,2.80-1+deb10u1
dnsutils,1:9.11.5.P4+dfsg-5.1+deb10u8
docker-ce-cli,5:20.10.7~3-0~debian-buster
docker-ce,5:20.10.7~3-0~debian-buster
docutils-common,0.14+dfsg-4
dpkg,1.19.8
dstat,0.7.4-6+github1
e2fslibs:amd64,1.44.5-1+deb10u3
e2fsprogs,1.44.5-1+deb10u3
eatmydata,105-7
ec2-utils,2.1.0+github4
eject,2.1.5+deb1+cvs20081104-13.2
ethtool,1:4.19-1
fdisk,2.33.1-0.1
file,1:5.35-4+deb10u2
findutils,4.6.0+git+20190209-2
fio,3.25-2+github1
fontconfig-config,2.13.1-2
fontconfig,2.13.1-2
fonts-dejavu-core,2.37-1
fonts-lyx,2.3.2-1
fonts-stix,1.1.1-4
fping,4.2-1
freetds-common,1.00.104-1+deb10u1
galera-3,25.3.25-2
gawk,1:4.2.1+dfsg-1
gcc-7-base:amd64,7.4.0-6
gcc-8-base:amd64,8.3.0-6
gdb,8.2.1-2+b3
gdisk,1.0.3-1.1
geoip-bin,1.6.12-1
geolite2-city,20230110+github2
geos,3.4.3+github1
gettext-base,0.19.8.1-9
ghes-manage,0.1.18+github1
gir1.2-glib-2.0:amd64,1.58.3-2
gir1.2-packagekitglib-1.0,1.1.12-5
git-sizer,1.5.0+github1
